model,mode,embed_model,gpt_model,sections,embeds,accuracy,precision,recall,f1,roc_auc,hold_accuracy,hold_precision,hold_recall,hold_f1,hold_roc_auc,file
logistic,basic,ember-v1,gpt35,all,all_embeds,0.8240938166311301,0.7824765063571033,0.7142857142857142,0.7041198501872659,0.8776083467094703,0.44854376843929117,0.28116482244868973,0.24389864512706458,0.2814430327830447,0.6562859320273187,basic_ember-v1_gpt35_embeddings.csv
logistic,basic,ember-v1,gpt35,all,support,0.8342217484008528,0.7280265339966833,0.7372926698769395,0.6859283039058319,0.8329320492241841,0.48188910830082726,0.19737970853877274,0.2949227204834531,0.2916365091131656,0.5436088647293493,basic_ember-v1_gpt35_embeddings.csv
logistic,basic,ember-v1,gpt35,all,refute,0.8200959488272921,0.7790215588723052,0.6413857677902621,0.7241171749598715,0.8719234884965221,0.3974980206294553,0.4266119558547512,0.16996124831596227,0.3068747948452586,0.6316719110477687,basic_ember-v1_gpt35_embeddings.csv
rf,basic,ember-v1,gpt35,all,all_embeds,0.8310234541577826,0.7414317302377004,0.7221107544141251,0.7506688068485822,0.9100454788657035,0.4394797318720205,0.2846140545760569,0.30089970725160925,0.33795077121337025,0.649315912012401,basic_ember-v1_gpt35_embeddings.csv
rf,basic,ember-v1,gpt35,all,support,0.8428837953091685,0.7737700386954118,0.7536784376672017,0.6930845371856608,0.8649010165864099,0.48081329623781965,0.28596940055499537,0.2970110062362597,0.3292375456373301,0.5404232344132981,basic_ember-v1_gpt35_embeddings.csv
rf,basic,ember-v1,gpt35,all,refute,0.8125,0.7586373687119955,0.6640583199571964,0.7100053504547886,0.8386837881219903,0.4580317733311641,0.2552550582804743,0.20626977822175158,0.2851779818684032,0.28443898672339185,basic_ember-v1_gpt35_embeddings.csv
knn,basic,ember-v1,gpt35,all,all_embeds,0.6729744136460554,0.7553897180762852,0.6795077581594435,0.700040128410915,0.8603531300160514,0.3444694694694695,0.31137052129197645,0.21019903348024618,0.35518708503422586,0.6554166632924924,basic_ember-v1_gpt35_embeddings.csv
knn,basic,ember-v1,gpt35,all,support,0.6571828358208956,0.7487562189054726,0.6596441947565543,0.71669341894061,0.8926565008025681,0.2754070841027363,0.2635945138769997,0.17665568110483365,0.34555930353960534,0.6051390582995018,basic_ember-v1_gpt35_embeddings.csv
knn,basic,ember-v1,gpt35,all,refute,0.6915644989339019,0.7620923161967937,0.6682718031032637,0.6969636169074371,0.8711878009630819,0.33806765949623085,0.28706519713631046,0.2591032477134263,0.3285987147027314,0.6766447262865865,basic_ember-v1_gpt35_embeddings.csv
logistic,rag,ember-v1,gpt35,all,all_embeds,0.8019056400799139,0.6017857142857143,0.6925595238095238,0.7001488095238094,0.8050925925925926,0.4078052448971773,0.2224124859863833,0.25547075928062846,0.2748017969288763,0.4839018036845578,rag_ember-v1_gpt35_embeddings.csv
logistic,rag,ember-v1,gpt35,all,support,0.8045182111572152,0.553125,0.6558035714285715,0.6611607142857143,0.769753086419753,0.3384193314459274,0.27785821079465356,0.20985886412227517,0.22233058885824447,0.41007562818653487,rag_ember-v1_gpt35_embeddings.csv
logistic,rag,ember-v1,gpt35,all,refute,0.6734286153373291,0.5855654761904762,0.661235119047619,0.694047619047619,0.7828703703703703,0.1995352817484653,0.14811303861326588,0.2580187999370762,0.302314792247949,0.3406199255135528,rag_ember-v1_gpt35_embeddings.csv
rf,rag,ember-v1,gpt35,all,all_embeds,0.7706316274781004,0.6733630952380952,0.7229166666666667,0.7027529761904763,0.7828703703703704,0.39630839261733425,0.2851442593111113,0.23414265661672978,0.3308129984660544,0.39514996759388876,rag_ember-v1_gpt35_embeddings.csv
rf,rag,ember-v1,gpt35,all,support,0.7448901183341017,0.6537946428571428,0.7035714285714286,0.6901785714285714,0.7765432098765432,0.3454848637264322,0.2658232202132047,0.2119915235064912,0.24454814885427795,0.43445995535899334,rag_ember-v1_gpt35_embeddings.csv
rf,rag,ember-v1,gpt35,all,refute,0.7378208083602275,0.5912946428571428,0.6144345238095238,0.608110119047619,0.6394290123456791,0.20801046103659554,0.12626737730694346,0.17200170239643137,0.13424445179417444,0.14830538425660422,rag_ember-v1_gpt35_embeddings.csv
knn,rag,ember-v1,gpt35,all,all_embeds,0.6201782695558629,0.6093005952380952,0.7677083333333333,0.5694196428571427,0.8354938271604938,0.202208653701191,0.1938390940662193,0.24627979677191525,0.14946496620242253,0.5495531829801493,rag_ember-v1_gpt35_embeddings.csv
knn,rag,ember-v1,gpt35,all,support,0.6219455970493314,0.7014880952380953,0.7276785714285714,0.4348214285714285,0.7535493827160494,0.19258864408118137,0.21060660552658395,0.2674804345182768,0.1657833282566758,0.3984155958250839,rag_ember-v1_gpt35_embeddings.csv
knn,rag,ember-v1,gpt35,all,refute,0.5706162594129399,0.5802083333333333,0.6613095238095238,0.599032738095238,0.8168209876543211,0.1654228855721393,0.16402565096594945,0.19310216414777182,0.17426843651697643,0.4661286736451401,rag_ember-v1_gpt35_embeddings.csv
logistic,basic,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.8861940298507462,0.8027915975677169,0.814071696094168,0.7162921348314607,0.9236222578919209,0.5921819377833236,0.2771009892153542,0.3142945288137572,0.3594849724924231,0.6703992517906864,basic_SFR-Embedding-Mistral_gpt35_embeddings.csv
logistic,basic,SFR-Embedding-Mistral,gpt35,all,support,0.896588486140725,0.7743228302929795,0.7715355805243446,0.7141519529159979,0.870920278223649,0.6688106139244241,0.27562057828391573,0.35265016614807854,0.313646020761456,0.6729855949106486,basic_SFR-Embedding-Mistral_gpt35_embeddings.csv
logistic,basic,SFR-Embedding-Mistral,gpt35,all,refute,0.8562100213219617,0.7606412382531785,0.7316746923488496,0.7459202782236489,0.9112493311931513,0.44548517459000314,0.2472461961349306,0.25025027005733996,0.32539572598037386,0.6339581580987664,basic_SFR-Embedding-Mistral_gpt35_embeddings.csv
rf,basic,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.8368203624733475,0.7979546710889994,0.8337346174424826,0.703852327447833,0.9038255751738898,0.4864493053022092,0.33420504819615665,0.3742557700783752,0.2988704118215591,0.6058513278270348,basic_SFR-Embedding-Mistral_gpt35_embeddings.csv
rf,basic,SFR-Embedding-Mistral,gpt35,all,support,0.8064365671641791,0.7893864013266998,0.776685393258427,0.7258560727661852,0.8719234884965222,0.5797531713900275,0.2793958334807415,0.2665953015513109,0.2822363124468824,0.5545578174306994,basic_SFR-Embedding-Mistral_gpt35_embeddings.csv
rf,basic,SFR-Embedding-Mistral,gpt35,all,refute,0.8413512793176974,0.7803344389165284,0.7574906367041199,0.7029828785446763,0.8449705724986624,0.48935561562751073,0.2831498722417084,0.3355794262598909,0.1848123790283785,0.2762486322034162,basic_SFR-Embedding-Mistral_gpt35_embeddings.csv
knn,basic,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.6876332622601279,0.7506909894969597,0.6506821829855538,0.7595639379347244,0.8687800963081862,0.3241689965827897,0.250360206857382,0.16675508142831524,0.38084343360088696,0.539424517509679,basic_SFR-Embedding-Mistral_gpt35_embeddings.csv
knn,basic,SFR-Embedding-Mistral,gpt35,all,support,0.6902985074626866,0.7202183526810392,0.666466024612092,0.7429106474050294,0.8556046013911183,0.3238953238953239,0.24461116666638466,0.18651940519251461,0.32396330129380974,0.5172517268308686,basic_SFR-Embedding-Mistral_gpt35_embeddings.csv
knn,basic,SFR-Embedding-Mistral,gpt35,all,refute,0.6720415778251598,0.757600884466556,0.6426565008025682,0.6843231674692348,0.859617442482611,0.3412334528405957,0.24838768295503352,0.16265117108395544,0.3110907703986714,0.5125512852873628,basic_SFR-Embedding-Mistral_gpt35_embeddings.csv
logistic,rag,SFR-Embedding-Mistral,gpt35,WP,all_embeds,0.8833609729132116,0.8231066887783305,0.7598983413590155,0.7944087747458535,0.879079721776351,0.5175399003854716,0.32416659548496457,0.30504640952293,0.4215703337440409,0.5540992348951794,rag_SFR-Embedding-Mistral_gpt35_WP_embeddings.csv
logistic,rag,SFR-Embedding-Mistral,gpt35,WP,support,0.9072692095080155,0.8272526257600884,0.7632423756019261,0.8044408774745854,0.8816211878009631,0.599410578121505,0.31524594738330275,0.3193208069411153,0.3994822307439155,0.6064707279192665,rag_SFR-Embedding-Mistral_gpt35_WP_embeddings.csv
logistic,rag,SFR-Embedding-Mistral,gpt35,WP,refute,0.5181730237700387,0.5402155887230513,0.6075441412520065,0.5831326912787587,0.6630551096843231,0.09437700079860452,0.15298287671883304,0.1681479993147984,0.2918425060684907,0.358720928264702,rag_SFR-Embedding-Mistral_gpt35_WP_embeddings.csv
rf,rag,SFR-Embedding-Mistral,gpt35,WP,all_embeds,0.8682974018794914,0.8441127694859037,0.8022338148742644,0.7506688068485822,0.945024077046549,0.4424096892303309,0.34092406842482254,0.30733761989272707,0.4158620392789929,0.7596222274043128,rag_SFR-Embedding-Mistral_gpt35_WP_embeddings.csv
rf,rag,SFR-Embedding-Mistral,gpt35,WP,support,0.8793532338308456,0.8410724156992814,0.7958801498127341,0.7520733012306046,0.9596040663456393,0.5687004739629107,0.33346859202934576,0.3634062622843792,0.43066986479085234,0.8480571207467995,rag_SFR-Embedding-Mistral_gpt35_WP_embeddings.csv
rf,rag,SFR-Embedding-Mistral,gpt35,WP,refute,0.4972360420121614,0.4785793255942509,0.4662921348314607,0.5695559122525414,0.4095104333868378,0.08917893181203439,0.11816147068090153,0.08728841310980712,0.19576677864991499,0.07905059538997461,rag_SFR-Embedding-Mistral_gpt35_WP_embeddings.csv
knn,rag,SFR-Embedding-Mistral,gpt35,WP,all_embeds,0.6285931453841902,0.6970702045328911,0.7158239700374531,0.7457865168539326,0.8745318352059925,0.20735674717238795,0.20237081486160335,0.23185651700330873,0.3714297018242325,0.5290346450634744,rag_SFR-Embedding-Mistral_gpt35_WP_embeddings.csv
knn,rag,SFR-Embedding-Mistral,gpt35,WP,support,0.6887783305693754,0.7412244333886125,0.7853130016051364,0.717964151952916,0.8666399143927233,0.3283113622096673,0.21379763299397656,0.2643364995418328,0.34204210442165195,0.6398812799387861,rag_SFR-Embedding-Mistral_gpt35_WP_embeddings.csv
knn,rag,SFR-Embedding-Mistral,gpt35,WP,refute,0.535240464344942,0.576147042564953,0.5771803103263777,0.6050695559122525,0.6605805243445693,0.1464741577735928,0.13607589423824928,0.1447807371536185,0.2019918136746224,0.31986825588520507,rag_SFR-Embedding-Mistral_gpt35_WP_embeddings.csv
logistic,basic,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.9504264392324094,0.8355444997236041,0.834804708400214,0.8089887640449438,0.9347244515783842,0.7662214035232736,0.30370920548171526,0.328730974918066,0.3177318001423475,0.7660249649038569,basic_SFR-Embedding-Mistral_gpt4_embeddings.csv
logistic,basic,SFR-Embedding-Mistral,gpt4,all,support,0.9363006396588487,0.8291873963515755,0.8008293204922419,0.7950775815944354,0.9138576779026216,0.765742732171845,0.30293476430828004,0.37481804435084914,0.32723173574152586,0.7266146459702825,basic_SFR-Embedding-Mistral_gpt4_embeddings.csv
logistic,basic,SFR-Embedding-Mistral,gpt4,all,refute,0.9161780383795309,0.8001658374792703,0.7867843766720171,0.7901284109149278,0.9353932584269663,0.6189116928273216,0.2737581018368964,0.2767215746809235,0.3463606344497857,0.7674526164741893,basic_SFR-Embedding-Mistral_gpt4_embeddings.csv
rf,basic,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.9423640724946695,0.8056246545052516,0.8168806848582129,0.6990369181380418,0.9051631888710541,0.7234330157206954,0.27189625749746377,0.29294369206910514,0.2025976867437806,0.6738436062684182,basic_SFR-Embedding-Mistral_gpt4_embeddings.csv
rf,basic,SFR-Embedding-Mistral,gpt4,all,support,0.8789312366737739,0.8256633499170812,0.7843766720171215,0.6825842696629214,0.9262306046013912,0.5972089230170641,0.26613509748079617,0.28070158960667574,0.1705999553407767,0.6757413432578758,basic_SFR-Embedding-Mistral_gpt4_embeddings.csv
